Breed,Origin,fci,akc,NKC,ankc,tkc,nzkc,ukc
Komondor,Hungary,Group 01 Section 01 #053,Working Group,Group 05 (Working Dogs),Group 03 - Working Dogs,Pastoral,Working,Guardian Dog
Kooikerhondje,Netherlands,Group 08 Section 02 #314,FSS,,,Gundog,,Gun Dog
Koolie,Australia,,,,,,,
Korean Jindo Dog,South Korea,Group 05 Section 05 #334,FSS,,,,,Northern Breeds
Kromfohrländer,Germany,Group 09 Section 10 #192,,,,,,Terrier
Kunming Wolfdog,China,,,,,,,
Kurī,New Zealand,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Kuvasz,Hungary,Group 01 Section 01 #054,Working Group,Group 05 (Working Dogs),Group 03 - Working Dogs,Pastoral,Working,Guardian Dog
Kyi-Leo,United States,,,,,,,
Labrador Husky,Canada,,,,,,,
Labrador Retriever,"Canada, England",Group 08 Section 01 #122,Sporting Group,Group 03 (Gun dogs),Group 01 — Sporting Dogs,Gun dog,Gundogs,Gun Dog
Lagotto Romagnolo,Italy,Group 08 Section 03 #298,FSS,,Group 03 Gundogs,Gundogs,Gundogs,Gun Dog
Lakeland Terrier,England,Group 03 Section 01 #070,Terrier Group,Group 02 (Terriers),Group 04 - Terrier,Terrier,Terrier,Terrier
Lancashire Heeler,England,,FSS,,,Pastoral,,
Landseer,Canada,Group 02 Section 02 #226,,,,,,
Lapponian Herder,Finland,Group 05 Section 03 #284,,,,,,Herding Dog
Leonberger,Germany,Group 02 Section 02 #145,Working Group,Group 06 (Utility),Working Dogs,Working,Utility,Guardian Dog
Lhasa Apso,Tibet,Group 09 Section 05 #227,Non-Sporting Group,Group 07 (Non-Sporting),Group 06 - Non-sporting Dogs,Utility,Non Sporting,Companion Dog
Lithuanian Hound,Lithuania,,,,,,,
Longhaired Whippet,United States,,,,,,,
Löwchen,"Germany,France,Netherlands,Spain",Group 09 Section 01 #233,Non-Sporting Group,Group 01(Toys),Group 06 (Non-Sporting),Toys,Toys,Companion Dog
Magyar Agár,"Hungary,Transylvania",,,,,,,
Maltese,Italy,Group 09 Section 01 #065,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Manchester Terrier,England,Group 03 Section 01 #071,"Terrier Group, Toy Group",,,Terrier,Terrier,Terrier
Maremma Sheepdog,Italy,Group 01 Section 01 #201,,Group 05 (Working Dogs),,Pastoral,Working,Guardian Dog
McNab,United States,,,,,,,
Mexican Hairless Dog,Mexico,Group 05 Section 06 #234,Non-Sporting Group,,Toys/Non Sporting,Utility,,Sighthound and Pariah
Miniature Australian Shepherd,United States,,,,,,,
Miniature American Shepherd,United States,,FSS (Miscellaneous),,,,,Herding Dog
Miniature Fox Terrier,Australia,,,,,,,
Miniature Pinscher,Germany,Group 02 Section 01 #185,Toy Group,Group 01 (Toys),Group 05 - Toys,Toy,Toy,Companion Dog
Miniature Schnauzer,Germany,Group 02 Section 01 #183,Terrier Group,Group 06 (Utility),Group 04 - Terriers,Utility,Utility,Terrier
Miniature Shar Pei,China,,,,,,,
Mioritic,Romania,Group 01 Section 01 #349,,,,,,
Molossus,Greece,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Montenegrin Mountain Hound,Montenegro,Group 06 Section 01 #279,,,,,,
Moscow Watchdog,Russia,,,,,,,
Moscow Water Dog,Russia,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Mountain Cur,United States,,,,,,,Scenthound
Mucuchies,Venezuela,,,,,,,
Mudhol Hound,India,,,,,,,
Mudi,Hungary,Group 01 Section 01 #238,FSS,,,,,Herding Dog
"Münsterländer, Large",Germany,Group 07 Section 01 #118,,Group 03 (Gundogs),,Gundog,Gundogs,Gun Dog
"Münsterländer, Small",Germany,Group 07 Section 01 #102,FSS,,Miscellaneous,Gundog,,Gun Dog
Neapolitan Mastiff,Italy,Group 02 Section 02 #197,Working Group,Group 06 (Utility),Miscellaneous,Working,Utility,Guardian Dog
Newfoundland,Canada,Group 02 Section 02 #050,Working Group,Group 06 (Utility),Group 03 - Working Dogs,Working,Utility,Guardian Dog
New Zealand Heading Dog,New Zealand,,,,,,,
Norfolk Spaniel,United Kingdom,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Norfolk Terrier,Great Britain,Group 03 Section 02 #272,Terrier Group,Group 02 Terriers,Terrier,Terrier,Terrier,Terrier
Norrbottenspets,Sweden,Group 05 Section 02 #276,FSS,,Group 02 - Hounds,,,Northern Breed
North Country Beagle,Great Britain,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Northern Inuit Dog,England,,,,,,,
Norwegian Buhund,Norway,Group 05 Section 03 #237,Herding Group,Group 05 (Working Dogs),Group 07 - Herding,Pastoral,Working,Northern Breed
Norwegian Elkhound,Norway,Group 05 Section 02 #242,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Northern Breed
Norwegian Lundehund,Norway,Group 05 Section 02 #265,Non-Sporting Group,,Group 02 - Hounds,,,Northern Breed
Norwich Terrier,United Kingdom,Group 03 Section 02 #072,Terrier Group,Group 02 (Terriers),Group 04 - Terriers,Terrier,Terrier,Terrier
Nova Scotia Duck-Tolling Retriever,Canada,Group 08 Section 01 #312,Sporting Group,Group 03 (Gundogs),Group 01 - Sporting Dogs,Gundog,Gundogs,Gun Dog
Old Croatian Sighthound,Croatia,,,,,,,
Old Danish Pointer,Denmark,Group 07 Section 01 #281,,,,,,
Old English Sheepdog,England,Group 01 Section 01 #016,Herding Group,Working Group,Group 07 - Herding Dogs,Pastoral,Working,Herding Dog
Old English Terrier,England,,,,,,,
Old German Shepherd Dog,Germany,,,,,,,
Old Time Farm Shepherd,United States,,,,,,,
Olde English Bulldogge,United States,,,,,,,CDHPR
Otterhound,England,Group 06 Section 02 #294,Hound Group,Group 04 (Hounds),Group 02 - Hounds,Hound,Hound,Scenthound
Pachon Navarro,Spain,,,,,,,
Paisley Terrier,Scotland,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Papillon,"Spain, Belgium,France",Group 09 Section 09 #077,Toy Group,Group 01 (Toys),Group 02- Toys,Toy,Toy,Companion Dog
Parson Russell Terrier,England,Group 03 Section 01 #339,Terrier Group,Group 02 (Terrier),Terrier,Terrier,Terrier,Terrier
Patterdale Terrier,England,,,,,,,Terrier
Pekingese,China,Group 09 Section 08 #207,Toy Group,Group 01 (Toys),Group 05- Toys,Toy,Toy,Companion Dog
Perro de Presa Canario,Spain,Group 02 Section 02 #346,FSS,,,,,Guardian Dog
Perro de Presa Mallorquin,Spain,Group 02 Section 02 #249,,,,,,Guardian Dog
Peruvian Hairless Dog,Peru,Group 05 Section 06 #310,FSS (Miscellaneous),,,,Non Sporting,Sighthound and Pariah
Phalène,"Belgium, Spain",,,,,,,
